형태소,품사,분류,카운트,상대빈도,시각화용,,,
HayanTree,Alpha,교촌 전,1,0.00143%,HayanTree ,,,
HayanTree,Alpha,교촌 전,2,0.00143%,HayanTree HayanTree ,,,
HayanTree,Alpha,교촌 전,11,0.00143%,HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree ,,,
HayanTree,Alpha,교촌 전,6,0.00143%,HayanTree HayanTree HayanTree HayanTree HayanTree HayanTree ,,,
Hearing,Alpha,교촌 전,1,0.00143%,Hearing ,,,
Hee,Alpha,교촌 전,1,0.00143%,Hee ,,,
Hein,Alpha,교촌 전,1,0.00143%,Hein ,,,
Heyhay,Alpha,교촌 전,1,0.00143%,Heyhay ,,,
Hi,Alpha,교촌 전,1,0.00143%,Hi ,,,
High,Alpha,교촌 전,1,0.00143%,High ,,,
Hinatea,Alpha,교촌 전,1,0.00143%,Hinatea ,,,
Ho,Alpha,교촌 전,1,0.00143%,Ho ,,,
HoHo,Alpha,교촌 전,1,0.00143%,HoHo ,,,
Hodor,Alpha,교촌 전,1,0.00143%,Hodor ,,,
Holy,Alpha,교촌 전,1,0.00143%,Holy ,,,
HomeRun,Alpha,교촌 전,1,0.00143%,HomeRun ,,,
Honey,Alpha,교촌 전,1,0.00143%,Honey ,,,
Honey,Alpha,교촌 전,2,0.00143%,Honey Honey ,,,
Hong,Alpha,교촌 전,1,0.00143%,Hong ,,,
Hong,Alpha,교촌 전,1,0.00143%,Hong ,,,
Hong,Alpha,교촌 전,1,0.00143%,Hong ,,,
How,Alpha,교촌 전,2,0.00143%,How How ,,,
How,Alpha,교촌 전,1,0.00143%,How ,,,
Huen,Alpha,교촌 전,1,0.00143%,Huen ,,,
Hwang,Alpha,교촌 전,1,0.00143%,Hwang ,,,
Hye,Alpha,교촌 전,1,0.00143%,Hye ,,,
Hyun,Alpha,교촌 전,1,0.00143%,Hyun ,,,
Hyun,Alpha,교촌 전,1,0.00143%,Hyun ,,,
Hyunkyung,Alpha,교촌 전,1,0.00143%,Hyunkyung ,,,
Hyunsoo,Alpha,교촌 전,1,0.00143%,Hyunsoo ,,,
I,Alpha,교촌 전,1,0.00143%,I ,,,
IG,Alpha,교촌 전,1,0.00143%,IG ,,,
IMPOSSIBLE,Alpha,교촌 전,1,0.00143%,IMPOSSIBLE ,,,
IN,Alpha,교촌 전,3,0.00143%,IN IN IN ,,,
IPO,Alpha,교촌 전,2,0.00143%,IPO IPO ,,,
IUS,Alpha,교촌 전,2,0.00143%,IUS IUS ,,,
Ik,Alpha,교촌 전,1,0.00143%,Ik ,,,
Il,Alpha,교촌 전,1,0.00143%,Il ,,,
Im,Alpha,교촌 전,1,0.00143%,Im ,,,
Im,Alpha,교촌 전,1,0.00143%,Im ,,,
Imsujin,Alpha,교촌 전,1,0.00143%,Imsujin ,,,
In,Alpha,교촌 전,1,0.00143%,In ,,,
Inoue,Alpha,교촌 전,1,0.00143%,Inoue ,,,
Intannafia,Alpha,교촌 전,1,0.00143%,Intannafia ,,,
Invite,Alpha,교촌 전,1,0.00143%,Invite ,,,
Ip,Alpha,교촌 전,1,0.00143%,Ip ,,,
Isu,Alpha,교촌 전,1,0.00143%,Isu ,,,
J,Alpha,교촌 전,1,0.00143%,J ,,,
J,Alpha,교촌 전,2,0.00143%,J J ,,,
J,Alpha,교촌 전,1,0.00143%,J ,,,
J,Alpha,교촌 전,1,0.00143%,J ,,,
J,Alpha,교촌 전,1,0.00143%,J ,,,
